2024.06.13 04:08 | 平仓: 卖出 | 订单: 598 | 盈亏: 2.90 | 原因: 应急仓位盈利目标平仓
2024.06.13 04:09 | 平仓: 卖出 | 订单: 599 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.06.13 14:21 | 平仓: 卖出 | 订单: 601 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.06.13 14:21 | 平仓: 卖出 | 订单: 600 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.06.13 18:54 | 平仓: 买入 | 订单: 595 | 盈亏: -40.04 | 原因: 智能加仓止损平仓
2024.06.13 18:56 | 平仓: 买入 | 订单: 594 | 盈亏: -40.02 | 原因: 智能加仓止损平仓
2024.06.13 18:56 | 平仓: 买入 | 订单: 596 | 盈亏: -40.03 | 原因: 智能加仓止损平仓
2024.06.14 13:12 | 平仓: 卖出 | 订单: 607 | 盈亏: -40.16 | 原因: 应急仓位止损平仓
2024.06.14 13:12 | 平仓: 卖出 | 订单: 606 | 盈亏: -40.04 | 原因: 应急仓位止损平仓
2024.06.17 04:00 | 平仓: 卖出 | 订单: 610 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.06.17 15:30 | 平仓: 卖出 | 订单: 612 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.17 18:31 | 平仓: 卖出 | 订单: 613 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.17 18:33 | 平仓: 卖出 | 订单: 611 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.18 08:06 | 平仓: 卖出 | 订单: 614 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.06.18 08:06 | 平仓: 卖出 | 订单: 615 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.18 09:13 | 平仓: 卖出 | 订单: 617 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.18 09:13 | 平仓: 卖出 | 订单: 616 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.06.18 10:04 | 平仓: 卖出 | 订单: 619 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.06.18 10:04 | 平仓: 卖出 | 订单: 618 | 盈亏: 2.62 | 原因: 应急仓位盈利目标平仓
2024.06.18 10:41 | 平仓: 卖出 | 订单: 621 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.06.18 10:42 | 平仓: 卖出 | 订单: 620 | 盈亏: 2.70 | 原因: 应急仓位盈利目标平仓
2024.06.19 04:10 | 平仓: 卖出 | 订单: 623 | 盈亏: 2.82 | 原因: 应急仓位盈利目标平仓
2024.06.19 04:10 | 平仓: 卖出 | 订单: 622 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.06.19 14:05 | 平仓: 卖出 | 订单: 625 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.19 14:05 | 平仓: 卖出 | 订单: 624 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.19 17:01 | 平仓: 卖出 | 订单: 627 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.19 17:02 | 平仓: 卖出 | 订单: 626 | 盈亏: 2.72 | 原因: 应急仓位盈利目标平仓
2024.06.20 12:13 | 平仓: 卖出 | 订单: 632 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.06.20 12:13 | 平仓: 卖出 | 订单: 633 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.20 16:03 | 平仓: 买入 | 订单: 647 | 盈亏: 2.70 | 原因: 应急仓位盈利目标平仓
2024.06.20 16:21 | 平仓: 买入 | 订单: 648 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.06.20 16:21 | 平仓: 买入 | 订单: 649 | 盈亏: 2.84 | 原因: 应急仓位盈利目标平仓
2024.06.20 16:36 | 平仓: 买入 | 订单: 651 | 盈亏: 2.72 | 原因: 应急仓位盈利目标平仓
2024.06.20 16:36 | 平仓: 买入 | 订单: 650 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.21 10:42 | 平仓: 买入 | 订单: 659 | 盈亏: 2.68 | 原因: 应急仓位盈利目标平仓
2024.06.21 16:45 | 平仓: 买入 | 订单: 667 | 盈亏: -40.62 | 原因: 应急仓位止损平仓
2024.06.21 16:45 | 平仓: 买入 | 订单: 666 | 盈亏: -41.10 | 原因: 应急仓位止损平仓
2024.06.26 16:17 | 平仓: 卖出 | 订单: 718 | 盈亏: 2.90 | 原因: 应急仓位盈利目标平仓
2024.06.26 16:17 | 平仓: 卖出 | 订单: 719 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.26 16:32 | 平仓: 买入 | 订单: 706 | 盈亏: -40.08 | 原因: 智能加仓止损平仓
2024.06.27 14:41 | 平仓: 卖出 | 订单: 725 | 盈亏: -40.22 | 原因: 应急仓位止损平仓
2024.06.27 14:41 | 平仓: 卖出 | 订单: 724 | 盈亏: -40.18 | 原因: 应急仓位止损平仓
2024.06.28 04:41 | 平仓: 卖出 | 订单: 729 | 盈亏: 2.53 | 原因: 应急仓位盈利目标平仓
2024.06.28 17:38 | 平仓: 卖出 | 订单: 733 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.28 19:54 | 平仓: 买入 | 订单: 750 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.07.01 08:30 | 平仓: 卖出 | 订单: 728 | 盈亏: 3.12 | 原因: 应急仓位盈利目标平仓
2024.07.01 13:03 | 平仓: 买入 | 订单: 751 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.07.05 15:00 | 平仓: 买入 | 订单: 788 | 盈亏: 2.62 | 原因: 应急仓位盈利目标平仓
2024.07.05 15:01 | 平仓: 买入 | 订单: 789 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.07.08 12:48 | 平仓: 买入 | 订单: 806 | 盈亏: -40.36 | 原因: 应急仓位止损平仓
